Все Дорофей
###./DeepSpeech.py   --train_batch_size 10  --test_batch_size 10   --n_hidden 1024   --epochs 180   --early_stop True   --es_mean_th 0.1   --es_std_th 0.1   --dropout_rate 0.30   --learning_rate 0.0005   --report_count 100   --train_files ../sah_6h_2019-06-12/clips/train.csv --test_files ../sah_6h_2019-06-12/clips/test.csv --checkpoint_dir ../checkpoints --alphabet_config_path ../alphabet_sah.txt



I STARTING Optimization
Epoch 49 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 3.742300                                                                                                                       
Epoch 50 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.790479                                                                                                                       
Epoch 51 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.625317                                                                                                                       
Epoch 52 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.988842                                                                                                                       
Epoch 53 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.101573                                                                                                                       
Epoch 54 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 4.266740                                                                                                                       
Epoch 55 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.477619                                                                                                                       
Epoch 56 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.702084                                                                                                                       
Epoch 57 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.835564                                                                                                                       
Epoch 58 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.442216                                                                                                                       
Epoch 59 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.168589                                                                                                                       
Epoch 60 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.958953                                                                                                                       
Epoch 61 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.925038                                                                                                                       
Epoch 62 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 3.159027                                                                                                                       
Epoch 63 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.201701                                                                                                                       
Epoch 64 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.369412                                                                                                                       
Epoch 65 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.129006                                                                                                                       
Epoch 66 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.779633                                                                                                                       
Epoch 67 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.887411                                                                                                                       
Epoch 68 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.653882                                                                                                                       
Epoch 69 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.014093                                                                                                                       
Epoch 70 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.935065                                                                                                                       
Epoch 71 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.911032                                                                                                                       
Epoch 72 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.570442                                                                                                                       
Epoch 73 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.549526                                                                                                                       
Epoch 74 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 3.114843                                                                                                                       
Epoch 75 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.392677                                                                                                                       
Epoch 76 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.223738                                                                                                                       
Epoch 77 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.834754                                                                                                                       
Epoch 78 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.941331                                                                                                                       
Epoch 79 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.814109                                                                                                                       
Epoch 80 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.810537                                                                                                                       
Epoch 81 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.731277                                                                                                                       
Epoch 82 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.125022                                                                                                                       
Epoch 83 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.052452                                                                                                                       
Epoch 84 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.320789                                                                                                                       
Epoch 85 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.490914                                                                                                                       
Epoch 86 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.449058                                                                                                                       
Epoch 87 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.377695                                                                                                                       
Epoch 88 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.608099                                                                                                                       
Epoch 89 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.947043                                                                                                                       
Epoch 90 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.612667                                                                                                                       
Epoch 91 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.647114                                                                                                                       
Epoch 92 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.696940                                                                                                                       
Epoch 93 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.236960                                                                                                                       
Epoch 94 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.243798                                                                                                                       
Epoch 95 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.541866                                                                                                                       
Epoch 96 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.354970                                                                                                                       
Epoch 97 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.264860                                                                                                                       
Epoch 98 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.430844                                                                                                                       
Epoch 99 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.039077                                                                                                                       
Epoch 100 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.954261                                                                                                                      
Epoch 101 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.059859                                                                                                                      
Epoch 102 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.078789                                                                                                                      
Epoch 103 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.173828                                                                                                                      
Epoch 104 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.936853                                                                                                                      
Epoch 105 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.328072                                                                                                                      
Epoch 106 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.433577                                                                                                                      
Epoch 107 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.375822                                                                                                                      
Epoch 108 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.395996                                                                                                                      
Epoch 109 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.658293                                                                                                                      
Epoch 110 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.302345                                                                                                                      
Epoch 111 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.865359                                                                                                                      
Epoch 112 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.101326                                                                                                                      
Epoch 113 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.355115                                                                                                                      
Epoch 114 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.665519                                                                                                                      
Epoch 115 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.084902                                                                                                                      
Epoch 116 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.429524                                                                                                                      
Epoch 117 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.228266                                                                                                                      
Epoch 118 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.834640                                                                                                                      
Epoch 119 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.839018                                                                                                                      
Epoch 120 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.293914                                                                                                                      
Epoch 121 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.017556                                                                                                                      
Epoch 122 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.136485                                                                                                                      
Epoch 123 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.148765                                                                                                                      
Epoch 124 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.250531                                                                                                                      
Epoch 125 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.480048                                                                                                                      
Epoch 126 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.542673                                                                                                                      
Epoch 127 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.045359                                                                                                                      
Epoch 128 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.809346                                                                                                                      
Epoch 129 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.989078                                                                                                                      
Epoch 130 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.838332                                                                                                                      
Epoch 131 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.040384                                                                                                                      
Epoch 132 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.220332                                                                                                                      
Epoch 133 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.018058                                                                                                                      
Epoch 134 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.951895                                                                                                                      
Epoch 135 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.414454                                                                                                                      
Epoch 136 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.932914                                                                                                                      
Epoch 137 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.770486                                                                                                                      
Epoch 138 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.254849                                                                                                                      
Epoch 139 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.342561                                                                                                                      
Epoch 140 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.311671                                                                                                                      
Epoch 141 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.430415                                                                                                                      
Epoch 142 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.098928                                                                                                                      
Epoch 143 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.057042                                                                                                                      
Epoch 144 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.585912                                                                                                                      
Epoch 145 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.895631                                                                                                                      
Epoch 146 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.008507                                                                                                                      
Epoch 147 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.507916                                                                                                                      
Epoch 148 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.859185                                                                                                                      
Epoch 149 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.035590                                                                                                                      
Epoch 150 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.709445                                                                                                                      
Epoch 151 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.831266                                                                                                                      
Epoch 152 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.999356                                                                                                                      
Epoch 153 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.822226                                                                                                                      
Epoch 154 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.858387                                                                                                                      
Epoch 155 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.003873                                                                                                                      
Epoch 156 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.972588                                                                                                                      
Epoch 157 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.087530                                                                                                                      
Epoch 158 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.934583                                                                                                                      
Epoch 159 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.059115                                                                                                                      
Epoch 160 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.737285                                                                                                                      
Epoch 161 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.784873                                                                                                                      
Epoch 162 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.665422                                                                                                                      
Epoch 163 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.425432                                                                                                                      
Epoch 164 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.467277                                                                                                                      
Epoch 165 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.624332                                                                                                                      
Epoch 166 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.818820                                                                                                                      
Epoch 167 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.007606                                                                                                                      
Epoch 168 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.221531                                                                                                                      
Epoch 169 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.332058                                                                                                                      
Epoch 170 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.967954                                                                                                                      
Epoch 171 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.800752                                                                                                                      
Epoch 172 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.258150                                                                                                                      
Epoch 173 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.855043                                                                                                                      
Epoch 174 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 1.708548                                                                                                                      
Epoch 175 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.310812                                                                                                                      
Epoch 176 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.232199                                                                                                                      
Epoch 177 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.448393                                                                                                                      
Epoch 178 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.846325                                                                                                                      
Epoch 179 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 1.782058                                                                                                                      
I FINISHED optimization in 2:36:55.237527
WARNING:tensorflow:Entity <bound method LSTMBlockWrapper.call of <tensorflow.contrib.rnn.python.ops.lstm_ops.LSTMBlockFusedCell object at 0x7f425444ed30>> could not be transformed and will be executed as-is. Please report this to the AutgoGraph team. When filing the bug, set the verbosity to 10 (on Linux, `export AUTOGRAPH_VERBOSITY=10`) and attach the full output. Cause: converting <bound method LSTMBlockWrapper.call of <tensorflow.contrib.rnn.python.ops.lstm_ops.LSTMBlockFusedCell object at 0x7f425444ed30>>: AttributeError: module 'gast' has no attribute 'Num'
W1108 00:59:37.666965 139927501215552 ag_logging.py:145] Entity <bound method LSTMBlockWrapper.call of <tensorflow.contrib.rnn.python.ops.lstm_ops.LSTMBlockFusedCell object at 0x7f425444ed30>> could not be transformed and will be executed as-is. Please report this to the AutgoGraph team. When filing the bug, set the verbosity to 10 (on Linux, `export AUTOGRAPH_VERBOSITY=10`) and attach the full output. Cause: converting <bound method LSTMBlockWrapper.call of <tensorflow.contrib.rnn.python.ops.lstm_ops.LSTMBlockFusedCell object at 0x7f425444ed30>>: AttributeError: module 'gast' has no attribute 'Num'
WARNING:tensorflow:From /home/dorofei/tmp/deepspeech-gpu-venv/lib/python3.6/site-packages/tensorflow/python/training/saver.py:1276: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
W1108 00:59:37.727759 139927501215552 deprecation.py:323] From /home/dorofei/tmp/deepspeech-gpu-venv/lib/python3.6/site-packages/tensorflow/python/training/saver.py:1276: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
INFO:tensorflow:Restoring parameters from ../checkpoints/train-17460
I1108 00:59:37.728726 139927501215552 saver.py:1280] Restoring parameters from ../checkpoints/train-17460
I Restored variables from most recent checkpoint at ../checkpoints/train-17460, step 17460
Testing model on ../sah_6h_2019-06-12/clips/test.csv
Test epoch | Steps: 23 | Elapsed Time: 0:00:33                                                                                                                                                   
Test on ../sah_6h_2019-06-12/clips/test.csv - WER: 1.000000, CER: 0.862885, loss: 181.204605
--------------------------------------------------------------------------------
WER: 1.000000, CER: 0.808511, loss: 14.602155
 - wav: file:///home/dorofei/sakhaspeech/sah_6h_2019-06-12/clips/e6315d86c6973d83553b5fa1e703383107c167717a46e8be8b132477d555bccd8e1b8ccb41b2263865d2fb1d9af5e95217dba71349a0ed71025403bd677ba967.wav
 - src: "оҕолорун бүтэһигин көрөрүн сүрэҕэ билэн турдаҕа"
 - res: "лонгинднтд"
--------------------------------------------------------------------------------
WER: 1.000000, CER: 0.800000, loss: 21.572506
 - wav: file:///home/dorofei/sakhaspeech/sah_6h_2019-06-12/clips/4a5c45982366a08c426b8d187d39422816a3ee9c9bd43e6f8232912b730f001d3faaecfa50fd20b8449592b5656e1f6693bcd6ad57327735d98f72f22bcbbe21.wav
 - src: "наһаа үчүгэй киһи наһаа үчүгэй киһи"
 - res: "нааткигги"
--------------------------------------------------------------------------------
WER: 1.000000, CER: 0.789474, loss: 23.179037
 - wav: file:///home/dorofei/sakhaspeech/sah_6h_2019-06-12/clips/a892e15664fcb92e7d594de9676bf26ed5f971dd4b88fd58563832a521516ac230783de6659d4c692f7fdfc665048fa03245a40deb968d95b4c2c44af58a401d.wav
 - src: "абааһы ол кэнниттэн олох сүтэн хаалбыт"
 - res: "баллинхал"
--------------------------------------------------------------------------------
WER: 1.000000, CER: 0.815789, loss: 23.677273
